Tennis French Open 2011 Mens Tournament Third Round Matches A Murray v Berrer 
Set Betting
Timestamp,Timestamp,Inplay delay,Market status,Selection name,BP1,BV1,LP1,LV1,Total matched,LPM
1306583753650,Sat May 28 12:55:53 BST 2011,5,ACTIVE,A Murray 3 - 0,1.31,299.8,1.4,192.4,239614.6,1.31,
1306583787650,Sat May 28 12:56:27 BST 2011,5,ACTIVE,A Murray 3 - 0,1.31,299.8,1.4,183.74,239631.94,1.4,
1306583789650,Sat May 28 12:56:29 BST 2011,5,ACTIVE,A Murray 3 - 0,1.31,299.8,1.4,126.53,239746.33,1.4,
1306583821650,Sat May 28 12:57:01 BST 2011,5,ACTIVE,A Murray 3 - 0,1.31,249.8,1.4,126.53,239846.33,1.31,
1306583833650,Sat May 28 12:57:13 BST 2011,5,ACTIVE,A Murray 3 - 0,1.31,119.79,1.4,126.53,240106.34,1.31,
1306583847650,Sat May 28 12:57:27 BST 2011,5,ACTIVE,A Murray 3 - 0,1.17,6.93,1.31,2.02,240345.94,1.31,
1306583860650,Sat May 28 12:57:40 BST 2011,5,ACTIVE,A Murray 3 - 0,1.17,6.93,1.31,119.0,240345.94,1.31,
1306583880650,Sat May 28 12:58:00 BST 2011,5,ACTIVE,A Murray 3 - 0,1.17,6.93,1.3,303.01,240345.94,1.31,
1306583887650,Sat May 28 12:58:07 BST 2011,5,ACTIVE,A Murray 3 - 0,1.17,6.93,1.3,173.0,240605.95,1.3,
1306583905650,Sat May 28 12:58:25 BST 2011,5,ACTIVE,A Murray 3 - 0,1.21,173.34,1.3,173.0,240605.95,1.3,
1306583926650,Sat May 28 12:58:46 BST 2011,5,ACTIVE,A Murray 3 - 0,1.21,123.34,1.3,171.0,240709.95,1.3,
1306583939650,Sat May 28 12:58:59 BST 2011,5,ACTIVE,A Murray 3 - 0,1.21,123.34,1.26,50.0,240709.95,1.3,
1306583990650,Sat May 28 12:59:50 BST 2011,5,ACTIVE,A Murray 3 - 0,1.3,20.28,1.31,119.0,241211.94,1.3,
1306584000650,Sat May 28 13:00:00 BST 2011,5,ACTIVE,A Murray 3 - 0,1.21,123.34,1.31,119.0,241211.94,1.3,
1306584004650,Sat May 28 13:00:04 BST 2011,5,ACTIVE,A Murray 3 - 0,1.21,123.34,1.31,98.72,241252.48,1.31,
1306584008650,Sat May 28 13:00:08 BST 2011,5,ACTIVE,A Murray 3 - 0,1.21,133.34,1.31,98.72,241252.48,1.31,
1306584019650,Sat May 28 13:00:19 BST 2011,5,ACTIVE,A Murray 3 - 0,1.31,138.37,1.4,126.53,241449.94,1.31,
1306584036650,Sat May 28 13:00:36 BST 2011,5,ACTIVE,A Murray 3 - 0,1.31,138.37,1.4,126.53,241449.94,1.31,
1306584059650,Sat May 28 13:00:59 BST 2011,5,ACTIVE,A Murray 3 - 0,1.31,16.55,1.4,126.53,241449.94,1.31,
1306584072650,Sat May 28 13:01:12 BST 2011,5,ACTIVE,A Murray 3 - 0,1.22,3.0,1.31,5.11,241483.05,1.31,
1306584083650,Sat May 28 13:01:23 BST 2011,5,ACTIVE,A Murray 3 - 0,1.22,3.0,1.4,39.45,241675.45,1.4,
1306584102650,Sat May 28 13:01:42 BST 2011,5,ACTIVE,A Murray 3 - 0,1.22,3.0,1.4,25.45,241703.45,1.4,
1306584106650,Sat May 28 13:01:46 BST 2011,5,ACTIVE,A Murray 3 - 0,1.22,3.0,1.4,25.45,241703.45,1.4,
1306584107650,Sat May 28 13:01:47 BST 2011,5,ACTIVE,A Murray 3 - 0,1.3,121.81,1.4,25.45,241703.45,1.4,
1306584121650,Sat May 28 13:02:01 BST 2011,5,ACTIVE,A Murray 3 - 0,1.3,121.81,1.5,17.4,241728.9,1.4,
1306584131650,Sat May 28 13:02:11 BST 2011,5,ACTIVE,A Murray 3 - 0,1.34,279.07,1.5,17.4,241728.9,1.4,
1306584134650,Sat May 28 13:02:14 BST 2011,5,ACTIVE,A Murray 3 - 0,1.34,279.07,1.5,17.4,241728.9,1.4,
1306584150650,Sat May 28 13:02:30 BST 2011,5,ACTIVE,A Murray 3 - 0,1.34,236.22,1.5,17.4,241814.61,1.34,
1306584168650,Sat May 28 13:02:48 BST 2011,5,ACTIVE,A Murray 3 - 0,1.34,208.22,1.5,17.4,241870.61,1.34,
1306584174650,Sat May 28 13:02:54 BST 2011,5,ACTIVE,A Murray 3 - 0,1.34,30.49,1.5,17.4,242226.1,1.34,
1306584179650,Sat May 28 13:02:59 BST 2011,5,ACTIVE,A Murray 3 - 0,1.34,30.49,1.5,17.4,242226.1,1.34,
1306584198650,Sat May 28 13:03:18 BST 2011,5,ACTIVE,A Murray 3 - 0,1.3,86.67,1.34,19.51,242287.06,1.34,
1306584203650,Sat May 28 13:03:23 BST 2011,5,ACTIVE,A Murray 3 - 0,1.3,86.67,1.34,327.67,242287.06,1.34,
1306584211650,Sat May 28 13:03:31 BST 2011,5,ACTIVE,A Murray 3 - 0,1.3,86.67,1.34,19.51,242287.06,1.34,
1306584217650,Sat May 28 13:03:37 BST 2011,5,ACTIVE,A Murray 3 - 0,1.22,3.0,1.3,221.49,242460.4,1.3,
1306584221650,Sat May 28 13:03:41 BST 2011,5,ACTIVE,A Murray 3 - 0,1.22,3.0,1.3,238.89,242460.4,1.3,
1306584245650,Sat May 28 13:04:05 BST 2011,5,ACTIVE,A Murray 3 - 0,1.22,3.0,1.45,260.01,242699.3,1.3,
1306584255650,Sat May 28 13:04:15 BST 2011,5,ACTIVE,A Murray 3 - 0,1.26,8.66,1.45,260.01,242699.3,1.3,
1306584265650,Sat May 28 13:04:25 BST 2011,5,ACTIVE,A Murray 3 - 0,1.22,3.0,1.45,260.01,242699.3,1.3,
1306584284650,Sat May 28 13:04:44 BST 2011,5,ACTIVE,A Murray 3 - 0,1.22,3.0,1.43,101.4,242699.3,1.3,
1306584291650,Sat May 28 13:04:51 BST 2011,5,ACTIVE,A Murray 3 - 0,1.45,591.48,1.49,2.0,243442.14,1.45,
1306584295650,Sat May 28 13:04:55 BST 2011,5,ACTIVE,A Murray 3 - 0,1.45,408.61,1.49,2.0,243807.88,1.45,
1306584299650,Sat May 28 13:04:59 BST 2011,5,ACTIVE,A Murray 3 - 0,1.22,3.0,1.49,2.0,243807.88,1.45,
1306584304650,Sat May 28 13:05:04 BST 2011,5,ACTIVE,A Murray 3 - 0,1.35,408.61,1.49,2.0,243807.88,1.45,
1306584313650,Sat May 28 13:05:13 BST 2011,5,ACTIVE,A Murray 3 - 0,1.37,115.27,1.49,2.0,244007.88,1.35,
1306584317650,Sat May 28 13:05:17 BST 2011,5,ACTIVE,A Murray 3 - 0,1.37,115.27,1.45,47.66,244009.88,1.49,
1306584322650,Sat May 28 13:05:22 BST 2011,5,ACTIVE,A Murray 3 - 0,1.4,8.66,1.45,47.66,244009.88,1.49,
1306584330650,Sat May 28 13:05:30 BST 2011,5,ACTIVE,A Murray 3 - 0,1.4,8.66,1.44,6323.0,244009.88,1.49,
1306584335650,Sat May 28 13:05:35 BST 2011,5,ACTIVE,A Murray 3 - 0,1.4,8.66,1.42,86.67,244009.88,1.49,
1306584343650,Sat May 28 13:05:43 BST 2011,5,ACTIVE,A Murray 3 - 0,1.37,115.27,1.42,86.67,244027.2,1.4,
1306584346650,Sat May 28 13:05:46 BST 2011,5,ACTIVE,A Murray 3 - 0,1.37,115.27,1.42,86.67,244027.2,1.4,
1306584350650,Sat May 28 13:05:50 BST 2011,5,ACTIVE,A Murray 3 - 0,1.37,115.27,1.42,69.86,244122.55,1.42,
1306584351650,Sat May 28 13:05:51 BST 2011,5,ACTIVE,A Murray 3 - 0,1.37,115.27,1.4,78.0,244122.55,1.42,
1306584357650,Sat May 28 13:05:57 BST 2011,5,ACTIVE,A Murray 3 - 0,1.37,115.27,1.4,78.0,244122.55,1.42,
1306584358650,Sat May 28 13:05:58 BST 2011,5,ACTIVE,A Murray 3 - 0,1.37,115.27,1.4,78.0,244122.55,1.42,
1306584359650,Sat May 28 13:05:59 BST 2011,5,ACTIVE,A Murray 3 - 0,1.3,50.0,1.4,78.0,244122.55,1.42,
1306584361650,Sat May 28 13:06:01 BST 2011,5,ACTIVE,A Murray 3 - 0,1.3,50.0,1.4,90.0,244122.55,1.42,
1306584374650,Sat May 28 13:06:14 BST 2011,5,ACTIVE,A Murray 3 - 0,1.34,260.01,1.4,90.0,244122.55,1.42,
1306584378650,Sat May 28 13:06:18 BST 2011,5,ACTIVE,A Murray 3 - 0,1.34,260.01,1.4,14.6,244273.34,1.4,
1306584384650,Sat May 28 13:06:24 BST 2011,5,ACTIVE,A Murray 3 - 0,1.3,50.0,1.4,14.6,244273.34,1.4,
1306584387650,Sat May 28 13:06:27 BST 2011,5,ACTIVE,A Murray 3 - 0,1.4,4799.92,1.42,69.86,244302.55,1.4,
1306584397650,Sat May 28 13:06:37 BST 2011,5,ACTIVE,A Murray 3 - 0,1.43,39.0,1.45,17.52,244508.55,1.45,
1306584402650,Sat May 28 13:06:42 BST 2011,5,ACTIVE,A Murray 3 - 0,1.4,4704.51,1.45,17.52,245028.56,1.4,
1306584406650,Sat May 28 13:06:46 BST 2011,5,ACTIVE,A Murray 3 - 0,1.4,4675.91,1.45,17.52,245028.56,1.4,
1306584409650,Sat May 28 13:06:49 BST 2011,5,ACTIVE,A Murray 3 - 0,1.4,4675.91,1.54,2.0,245028.56,1.4,
1306584411650,Sat May 28 13:06:51 BST 2011,5,ACTIVE,A Murray 3 - 0,1.3,50.0,1.54,2.0,245028.56,1.4,
1306584425650,Sat May 28 13:07:05 BST 2011,5,ACTIVE,A Murray 3 - 0,1.51,28.6,1.54,2.0,245028.56,1.4,
1306584430650,Sat May 28 13:07:10 BST 2011,5,ACTIVE,A Murray 3 - 0,1.45,10.0,1.54,2.0,245028.56,1.4,
1306584433650,Sat May 28 13:07:13 BST 2011,5,ACTIVE,A Murray 3 - 0,1.3,50.0,1.54,2.0,245028.56,1.4,
1306584434650,Sat May 28 13:07:14 BST 2011,5,ACTIVE,A Murray 3 - 0,1.47,28.6,1.54,2.0,245028.56,1.4,
1306584438650,Sat May 28 13:07:18 BST 2011,5,ACTIVE,A Murray 3 - 0,1.58,8.0,1.59,2.0,245032.56,1.54,
1306584447650,Sat May 28 13:07:27 BST 2011,5,ACTIVE,A Murray 3 - 0,1.3,50.0,1.59,2.0,245032.56,1.54,
1306584452650,Sat May 28 13:07:32 BST 2011,5,ACTIVE,A Murray 3 - 0,1.59,6.0,1.67,96.2,245036.56,1.59,
1306584458650,Sat May 28 13:07:38 BST 2011,5,ACTIVE,A Murray 3 - 0,1.59,6.0,1.67,96.2,245036.56,1.59,
1306584464650,Sat May 28 13:07:44 BST 2011,5,ACTIVE,A Murray 3 - 0,1.5,177.84,1.53,43.33,245048.56,1.59,
