Tennis Sony Ericsson Open 2011 Womens Tournament The Final Sharapova v Azarenka 
Match Odds
Sat Apr 02 17:30:00 BST 2011
Timestamp,Inplay delay,Market status,Selection name,BP1,BV1,LP1,LV1,Total matched,LPM
Sat Apr 02 09:47:40 BST 2011,0,ACTIVE,Victoria Azarenka,1.67,1520.76,1.68,1618.25,52028.05,1.67,
Sat Apr 02 09:47:41 BST 2011,0,ACTIVE,Victoria Azarenka,1.67,1520.76,1.68,1618.25,52028.05,1.67,
Sat Apr 02 09:47:42 BST 2011,0,ACTIVE,Victoria Azarenka,1.67,1520.76,1.68,1618.25,52028.05,1.67,
Sat Apr 02 09:47:43 BST 2011,0,ACTIVE,Victoria Azarenka,1.67,1520.76,1.68,1618.25,52028.05,1.67,
Sat Apr 02 09:47:44 BST 2011,0,ACTIVE,Victoria Azarenka,1.67,1520.76,1.68,1618.25,52028.05,1.67,
Sat Apr 02 09:47:45 BST 2011,0,ACTIVE,Victoria Azarenka,1.67,1520.76,1.68,1618.25,52028.05,1.67,
Sat Apr 02 09:47:46 BST 2011,0,ACTIVE,Victoria Azarenka,1.67,1520.76,1.68,1618.25,52028.05,1.67,
Sat Apr 02 09:47:47 BST 2011,0,ACTIVE,Victoria Azarenka,1.67,1520.76,1.68,1618.25,52028.05,1.67,
Sat Apr 02 09:47:48 BST 2011,0,ACTIVE,Victoria Azarenka,1.67,1520.76,1.68,1618.25,52028.05,1.67,
Sat Apr 02 09:47:49 BST 2011,0,ACTIVE,Victoria Azarenka,1.67,1520.76,1.68,1618.25,52028.05,1.67,
Sat Apr 02 09:47:50 BST 2011,0,ACTIVE,Victoria Azarenka,1.67,1520.76,1.68,1618.25,52028.05,1.67,
Sat Apr 02 09:47:51 BST 2011,0,ACTIVE,Victoria Azarenka,1.67,1520.76,1.68,1618.25,52028.05,1.67,
Sat Apr 02 09:47:52 BST 2011,0,ACTIVE,Victoria Azarenka,1.67,1520.76,1.68,1618.25,52028.05,1.67,
Sat Apr 02 09:47:53 BST 2011,0,ACTIVE,Victoria Azarenka,1.67,1520.76,1.68,1618.25,52028.05,1.67,
Sat Apr 02 09:47:54 BST 2011,0,ACTIVE,Victoria Azarenka,1.67,1520.76,1.68,1618.25,52028.05,1.67,
Sat Apr 02 09:47:55 BST 2011,0,ACTIVE,Victoria Azarenka,1.67,1520.76,1.68,1618.25,52028.05,1.67,
Sat Apr 02 09:47:56 BST 2011,0,ACTIVE,Victoria Azarenka,1.67,1520.76,1.68,1618.25,52028.05,1.67,
Sat Apr 02 09:47:57 BST 2011,0,ACTIVE,Victoria Azarenka,1.67,1520.76,1.68,1618.25,52028.05,1.67,
Sat Apr 02 09:47:58 BST 2011,0,ACTIVE,Victoria Azarenka,1.67,1520.76,1.68,1618.25,52028.05,1.67,
Sat Apr 02 09:47:59 BST 2011,0,ACTIVE,Victoria Azarenka,1.67,1520.76,1.68,1618.25,52028.05,1.67,
Sat Apr 02 09:48:00 BST 2011,0,ACTIVE,Victoria Azarenka,1.67,1520.76,1.68,1618.25,52028.05,1.67,
Sat Apr 02 09:48:01 BST 2011,0,ACTIVE,Victoria Azarenka,1.67,1520.76,1.68,1618.25,52028.05,1.67,
Sat Apr 02 09:48:02 BST 2011,0,ACTIVE,Victoria Azarenka,1.67,1520.76,1.68,1618.25,52028.05,1.67,
Sat Apr 02 09:48:03 BST 2011,0,ACTIVE,Victoria Azarenka,1.67,1520.76,1.68,1618.25,52028.05,1.67,
Sat Apr 02 09:48:04 BST 2011,0,ACTIVE,Victoria Azarenka,1.67,1520.76,1.68,1618.25,52028.05,1.67,
Sat Apr 02 09:48:05 BST 2011,0,ACTIVE,Victoria Azarenka,1.67,1520.76,1.68,1618.25,52028.05,1.67,
Sat Apr 02 09:48:06 BST 2011,0,ACTIVE,Victoria Azarenka,1.67,1520.76,1.68,1618.25,52028.05,1.67,
Sat Apr 02 09:48:07 BST 2011,0,ACTIVE,Victoria Azarenka,1.67,1516.35,1.68,1618.25,52036.87,1.67,
Sat Apr 02 09:48:08 BST 2011,0,ACTIVE,Victoria Azarenka,1.67,1516.35,1.68,1618.25,52036.87,1.67,
