Tennis Sony Ericsson Open 2011 Womens Tournament The Final Sharapova v Azarenka 
Match Odds
Timestamp,Timestamp,Inplay delay,Market status,Selection name,BP1,BV1,LP1,LV1,Total matched,LPM
1301764939285,Sat Apr 02 18:22:19 BST 2011,5,ACTIVE,Victoria Azarenka,1.17,9833.6,1.18,8973.88,2023489.1,1.17,
1301764940285,Sat Apr 02 18:22:20 BST 2011,5,ACTIVE,Victoria Azarenka,1.17,9855.95,1.18,8973.88,2023506.8,1.17,
1301764941285,Sat Apr 02 18:22:21 BST 2011,5,ACTIVE,Victoria Azarenka,1.17,9898.03,1.18,7973.88,2025506.8,1.18,
1301764943285,Sat Apr 02 18:22:23 BST 2011,5,ACTIVE,Victoria Azarenka,1.17,9833.88,1.18,7923.88,2025606.8,1.18,
1301764944285,Sat Apr 02 18:22:24 BST 2011,5,ACTIVE,Victoria Azarenka,1.17,6574.6,1.18,7835.59,2025783.4,1.18,
1301764946285,Sat Apr 02 18:22:26 BST 2011,5,ACTIVE,Victoria Azarenka,1.17,284.65,1.18,7835.59,2025783.4,1.18,
1301764947285,Sat Apr 02 18:22:27 BST 2011,5,ACTIVE,Victoria Azarenka,1.15,15788.73,1.16,5150.76,2037776.8,1.16,
1301764948285,Sat Apr 02 18:22:28 BST 2011,5,ACTIVE,Victoria Azarenka,1.15,15788.73,1.16,15986.21,2037844.8,1.16,
1301764949285,Sat Apr 02 18:22:29 BST 2011,5,ACTIVE,Victoria Azarenka,1.15,15788.73,1.16,15932.35,2037952.5,1.16,
1301764950285,Sat Apr 02 18:22:30 BST 2011,5,ACTIVE,Victoria Azarenka,1.15,15788.73,1.16,19361.84,2038001.5,1.16,
1301764951285,Sat Apr 02 18:22:31 BST 2011,5,ACTIVE,Victoria Azarenka,1.15,15788.73,1.16,43095.72,2040275.5,1.16,
1301764952285,Sat Apr 02 18:22:32 BST 2011,5,ACTIVE,Victoria Azarenka,1.15,14266.99,1.16,53539.59,2043318.9,1.15,
1301764953285,Sat Apr 02 18:22:33 BST 2011,5,ACTIVE,Victoria Azarenka,1.15,14266.99,1.16,51123.86,2043318.9,1.15,
1301764954285,Sat Apr 02 18:22:34 BST 2011,5,ACTIVE,Victoria Azarenka,1.15,14266.99,1.16,51115.03,2043336.6,1.16,
1301764957285,Sat Apr 02 18:22:37 BST 2011,5,ACTIVE,Victoria Azarenka,1.15,13256.99,1.16,51316.76,2045356.6,1.15,
1301764958285,Sat Apr 02 18:22:38 BST 2011,5,ACTIVE,Victoria Azarenka,1.15,13256.99,1.16,51049.15,2045488.4,1.16,
1301764959285,Sat Apr 02 18:22:39 BST 2011,5,ACTIVE,Victoria Azarenka,1.15,13246.99,1.16,51049.15,2045508.4,1.15,
1301764960285,Sat Apr 02 18:22:40 BST 2011,5,ACTIVE,Victoria Azarenka,1.15,13246.99,1.16,49540.53,2045508.4,1.15,
1301764961285,Sat Apr 02 18:22:41 BST 2011,5,ACTIVE,Victoria Azarenka,1.15,13246.99,1.16,49452.24,2045684.9,1.16,
1301764963285,Sat Apr 02 18:22:43 BST 2011,5,ACTIVE,Victoria Azarenka,1.15,13246.99,1.16,49452.24,2045684.9,1.16,
1301764964285,Sat Apr 02 18:22:44 BST 2011,5,ACTIVE,Victoria Azarenka,1.15,13009.51,1.16,49452.24,2046159.9,1.15,
1301764965285,Sat Apr 02 18:22:45 BST 2011,5,ACTIVE,Victoria Azarenka,1.15,13001.51,1.16,45998.24,2046175.9,1.15,
1301764966285,Sat Apr 02 18:22:46 BST 2011,5,ACTIVE,Victoria Azarenka,1.15,13001.51,1.16,45705.14,2046320.6,1.16,
1301764967285,Sat Apr 02 18:22:47 BST 2011,5,ACTIVE,Victoria Azarenka,1.15,13001.51,1.16,45705.14,2046320.6,1.16,
1301764968285,Sat Apr 02 18:22:48 BST 2011,5,ACTIVE,Victoria Azarenka,1.15,12601.51,1.16,41261.14,2056008.6,1.16,
1301764969285,Sat Apr 02 18:22:49 BST 2011,5,ACTIVE,Victoria Azarenka,1.15,12597.22,1.16,41190.51,2056158.4,1.16,
1301764970285,Sat Apr 02 18:22:50 BST 2011,5,ACTIVE,Victoria Azarenka,1.15,12070.99,1.16,41190.51,2057210.9,1.15,
1301764972285,Sat Apr 02 18:22:52 BST 2011,5,ACTIVE,Victoria Azarenka,1.15,11950.3,1.16,41190.51,2057452.2,1.15,
1301764973285,Sat Apr 02 18:22:53 BST 2011,5,ACTIVE,Victoria Azarenka,1.15,11143.96,1.16,41190.51,2059065.0,1.15,
1301764974285,Sat Apr 02 18:22:54 BST 2011,5,ACTIVE,Victoria Azarenka,1.15,10643.96,1.16,41190.51,2060065.0,1.15,
1301764975285,Sat Apr 02 18:22:55 BST 2011,5,ACTIVE,Victoria Azarenka,1.15,8425.96,1.16,41190.51,2064501.0,1.15,
1301764976285,Sat Apr 02 18:22:56 BST 2011,5,ACTIVE,Victoria Azarenka,1.15,8399.47,1.16,41181.68,2064571.6,1.15,
1301764977285,Sat Apr 02 18:22:57 BST 2011,5,ACTIVE,Victoria Azarenka,1.15,8361.47,1.16,41181.68,2064647.6,1.15,
1301764978285,Sat Apr 02 18:22:58 BST 2011,5,ACTIVE,Victoria Azarenka,1.15,8361.47,1.16,41166.68,2064677.6,1.16,
1301764979285,Sat Apr 02 18:22:59 BST 2011,5,ACTIVE,Victoria Azarenka,1.15,7930.6,1.16,40562.65,2066747.4,1.16,
1301764980285,Sat Apr 02 18:23:00 BST 2011,5,ACTIVE,Victoria Azarenka,1.15,7930.6,1.16,40518.5,2066835.8,1.16,
1301764981285,Sat Apr 02 18:23:01 BST 2011,5,ACTIVE,Victoria Azarenka,1.15,7930.6,1.16,40485.5,2066901.8,1.16,
1301764982285,Sat Apr 02 18:23:02 BST 2011,5,ACTIVE,Victoria Azarenka,1.15,7820.6,1.16,40485.5,2067121.8,1.15,
1301764983285,Sat Apr 02 18:23:03 BST 2011,5,ACTIVE,Victoria Azarenka,1.15,7820.6,1.16,34186.72,2067121.8,1.15,
1301764984285,Sat Apr 02 18:23:04 BST 2011,5,ACTIVE,Victoria Azarenka,1.15,36.53,1.16,34186.72,2067161.8,1.15,
1301764985285,Sat Apr 02 18:23:05 BST 2011,5,ACTIVE,Victoria Azarenka,1.15,36.53,1.16,34073.81,2067387.5,1.16,
1301764987285,Sat Apr 02 18:23:07 BST 2011,5,ACTIVE,Victoria Azarenka,1.15,36.53,1.16,34073.81,2067387.5,1.16,
1301764988285,Sat Apr 02 18:23:08 BST 2011,5,ACTIVE,Victoria Azarenka,1.13,17979.87,1.14,17388.07,2068037.9,1.14,
1301764989285,Sat Apr 02 18:23:09 BST 2011,5,ACTIVE,Victoria Azarenka,1.13,17979.87,1.14,20457.97,2068806.0,1.14,
1301764990285,Sat Apr 02 18:23:10 BST 2011,5,ACTIVE,Victoria Azarenka,1.13,17979.87,1.14,20457.97,2068806.0,1.14,
1301764991285,Sat Apr 02 18:23:11 BST 2011,5,ACTIVE,Victoria Azarenka,1.13,17979.87,1.14,40637.11,2068982.6,1.14,
1301764993285,Sat Apr 02 18:23:13 BST 2011,5,ACTIVE,Victoria Azarenka,1.13,17979.87,1.14,40647.11,2068982.6,1.14,
1301764994285,Sat Apr 02 18:23:14 BST 2011,5,ACTIVE,Victoria Azarenka,1.13,17979.87,1.14,41932.06,2068982.6,1.14,
1301764995285,Sat Apr 02 18:23:15 BST 2011,5,ACTIVE,Victoria Azarenka,1.13,17976.73,1.14,40637.11,2068988.9,1.13,
1301764996285,Sat Apr 02 18:23:16 BST 2011,5,ACTIVE,Victoria Azarenka,1.13,17976.73,1.14,40637.11,2068988.9,1.13,
1301764997285,Sat Apr 02 18:23:17 BST 2011,5,ACTIVE,Victoria Azarenka,1.13,17976.73,1.14,40627.11,2069008.9,1.14,
1301764998285,Sat Apr 02 18:23:18 BST 2011,5,ACTIVE,Victoria Azarenka,1.13,17888.76,1.14,40627.11,2069184.9,1.13,
1301764999285,Sat Apr 02 18:23:19 BST 2011,5,ACTIVE,Victoria Azarenka,1.13,17888.76,1.14,40630.65,2069184.9,1.13,
1301765001285,Sat Apr 02 18:23:21 BST 2011,5,ACTIVE,Victoria Azarenka,1.13,17888.76,1.14,39095.56,2069184.9,1.13,
1301765002285,Sat Apr 02 18:23:22 BST 2011,5,ACTIVE,Victoria Azarenka,1.13,17888.76,1.14,39095.56,2069184.9,1.13,
1301765003285,Sat Apr 02 18:23:23 BST 2011,5,ACTIVE,Victoria Azarenka,1.13,21779.03,1.14,37551.07,2072715.2,1.14,
1301765004285,Sat Apr 02 18:23:24 BST 2011,5,ACTIVE,Victoria Azarenka,1.13,21774.61,1.14,37551.07,2072724.1,1.13,
1301765005285,Sat Apr 02 18:23:25 BST 2011,5,ACTIVE,Victoria Azarenka,1.13,20688.62,1.14,37551.07,2074896.0,1.13,
1301765008285,Sat Apr 02 18:23:28 BST 2011,5,ACTIVE,Victoria Azarenka,1.13,19541.2,1.14,37551.07,2077190.9,1.13,
1301765009285,Sat Apr 02 18:23:29 BST 2011,5,ACTIVE,Victoria Azarenka,1.13,19341.2,1.14,33953.23,2077878.5,1.14,
1301765010285,Sat Apr 02 18:23:30 BST 2011,5,ACTIVE,Victoria Azarenka,1.13,19341.2,1.14,33928.28,2077878.5,1.14,
1301765013285,Sat Apr 02 18:23:33 BST 2011,5,ACTIVE,Victoria Azarenka,1.13,18153.2,1.14,33919.39,2080272.4,1.13,
1301765014285,Sat Apr 02 18:23:34 BST 2011,5,ACTIVE,Victoria Azarenka,1.13,16503.12,1.14,33816.76,2083777.8,1.13,
1301765015285,Sat Apr 02 18:23:35 BST 2011,5,ACTIVE,Victoria Azarenka,1.13,16494.13,1.14,32835.83,2085757.6,1.14,
1301765017285,Sat Apr 02 18:23:37 BST 2011,5,ACTIVE,Victoria Azarenka,1.13,16079.79,1.14,32635.83,2086981.0,1.14,
1301765018285,Sat Apr 02 18:23:38 BST 2011,5,ACTIVE,Victoria Azarenka,1.13,16524.78,1.14,32635.83,2086981.0,1.14,
